customer_no,customer_id,Recency,Frequency,Monetary,Recency_score,Frequency_score,Monetary_score,RFM_SCORE,Segment,Is_Loyal
1,1111,524,1,21.14,1,1,1,111,hibernating,Not Loyal
2,1001,318,1,28.88,2,1,1,211,hibernating,Not Loyal
3,1002,2,1,82.39,5,1,3,513,new_customers,Not Loyal
4,1003,100,1,87.46,4,1,3,413,promising,Not Loyal
5,1004,114,3,88.87,4,3,3,433,potential_loyalists,Loyal
6,1005,421,1,56.07,1,1,2,112,hibernating,Not Loyal
7,1006,193,1,67.29,3,1,3,313,about_to_sleep,Not Loyal
8,1007,174,2,34.21,4,2,2,422,potential_loyalists,Loyal
9,1008,55,3,219.46,5,3,5,535,potential_loyalists,Loyal
10,1009,310,1,19.91,2,1,1,211,hibernating,Not Loyal
11,1010,0,1,26.07,5,1,1,511,new_customers,Not Loyal
12,1011,2,1,21.37,5,1,1,511,new_customers,Not Loyal
13,1012,84,1,67.29,5,1,3,513,new_customers,Not Loyal
14,1013,311,1,64.53,2,1,3,213,hibernating,Not Loyal
15,1014,528,1,56.4,1,1,2,112,hibernating,Not Loyal
16,1015,67,1,8.31,5,1,1,511,new_customers,Not Loyal
17,1016,123,1,47.09,4,1,2,412,promising,Not Loyal
18,1017,519,1,62.15,1,1,3,113,hibernating,Not Loyal
19,1018,89,1,13.92,5,1,1,511,new_customers,Not Loyal
20,1019,79,1,13.92,5,1,1,511,new_customers,Not Loyal
21,1020,143,1,32.62,4,1,2,412,promising,Not Loyal
22,1021,634,1,60.94,1,1,3,113,hibernating,Not Loyal
23,1022,583,1,20.63,1,1,1,111,hibernating,Not Loyal
24,1023,386,2,93.65,1,2,3,123,hibernating,Not Loyal
25,1024,180,1,57.45,4,1,2,412,promising,Not Loyal
26,1025,309,1,102.06,2,1,4,214,hibernating,Not Loyal
27,1026,443,1,56.07,1,1,2,112,hibernating,Not Loyal
28,1027,459,1,61.58,1,1,3,113,hibernating,Not Loyal
29,1028,420,1,42.88,1,1,2,112,hibernating,Not Loyal
30,1029,798,1,46.72,1,1,2,112,hibernating,Not Loyal
31,1030,1678,2,36.35,1,2,2,122,hibernating,Not Loyal
32,1031,301,1,29.53,2,1,1,211,hibernating,Not Loyal
33,1032,26,1,18.59,5,1,1,511,new_customers,Not Loyal
34,1033,1176,1,21.25,1,1,1,111,hibernating,Not Loyal
35,1034,859,3,121.68,1,3,4,134,at_Risk,Not Loyal
36,1035,480,1,62.62,1,1,3,113,hibernating,Not Loyal
37,1036,66,9,761.19,5,5,5,555,champions,Loyal
38,1037,7,2,141.51,5,2,4,524,potential_loyalists,Loyal
39,1038,930,2,138.51,1,2,4,124,hibernating,Not Loyal
40,1039,209,1,61.94,3,1,3,313,about_to_sleep,Not Loyal
41,1040,529,1,61.21,1,1,3,113,hibernating,Not Loyal
42,1041,85,4,314.15,5,4,5,545,champions,Loyal
43,1042,559,1,9.43,1,1,1,111,hibernating,Not Loyal
44,1043,89,8,308.86,5,5,5,555,champions,Loyal
45,1044,462,1,64.49,1,1,3,113,hibernating,Not Loyal
46,1045,94,1,23.25,4,1,1,411,promising,Not Loyal
47,1046,437,1,19.48,1,1,1,111,hibernating,Not Loyal
48,1047,18,4,258.04,5,4,5,545,champions,Loyal
49,1048,443,1,102.8,1,1,4,114,hibernating,Not Loyal
50,1049,185,2,40.42,3,2,2,322,about_to_sleep,Not Loyal
51,1050,306,2,75.85,2,2,3,223,hibernating,Not Loyal
52,1051,38,1,57.93,5,1,2,512,new_customers,Not Loyal
53,1052,334,1,23.27,2,1,1,211,hibernating,Not Loyal
54,1053,1431,1,33.54,1,1,2,112,hibernating,Not Loyal
55,1054,256,1,23.25,3,1,1,311,about_to_sleep,Not Loyal
56,1055,374,1,53.64,1,1,2,112,hibernating,Not Loyal
57,1056,341,1,45.71,2,1,2,212,hibernating,Not Loyal
58,1057,562,1,22.11,1,1,1,111,hibernating,Not Loyal
59,1058,200,1,58.41,3,1,2,312,about_to_sleep,Not Loyal
60,1059,215,1,75.7,3,1,3,313,about_to_sleep,Not Loyal
61,1060,71,2,80.18,5,2,3,523,potential_loyalists,Loyal
62,1061,212,1,36.52,3,1,2,312,about_to_sleep,Not Loyal
63,1062,730,2,95.51,1,2,3,123,hibernating,Not Loyal
64,1063,307,1,20.46,2,1,1,211,hibernating,Not Loyal
65,1064,60,1,89.76,5,1,3,513,new_customers,Not Loyal
66,1065,299,2,116.4,2,2,4,224,hibernating,Not Loyal
67,1066,303,5,284.13,2,5,5,255,cant_loose,Not Loyal
68,1067,444,1,58.88,1,1,2,112,hibernating,Not Loyal
69,1068,402,1,20.56,1,1,1,111,hibernating,Not Loyal
70,1069,337,1,29.72,2,1,1,211,hibernating,Not Loyal
71,1070,418,3,189.41,1,3,5,135,at_Risk,Not Loyal
72,1071,20,1,32.52,5,1,2,512,new_customers,Not Loyal
73,1072,173,1,17.65,4,1,1,411,promising,Not Loyal
74,1073,2,3,94.97,5,3,3,533,potential_loyalists,Loyal
75,1074,87,1,43.32,5,1,2,512,new_customers,Not Loyal
76,1075,160,3,592.55,4,3,5,435,potential_loyalists,Loyal
77,1076,88,1,23.26,5,1,1,511,new_customers,Not Loyal
78,1077,301,1,39.9,2,1,2,212,hibernating,Not Loyal
79,1078,67,2,81.05,5,2,3,523,potential_loyalists,Loyal
80,1079,1543,1,67.21,1,1,3,113,hibernating,Not Loyal
81,1080,66,27,1301.63,5,5,5,555,champions,Loyal
82,1081,373,1,22.42,1,1,1,111,hibernating,Not Loyal
83,1082,1,3,88.02,5,3,3,533,potential_loyalists,Loyal
84,1083,169,1,15.69,4,1,1,411,promising,Not Loyal
85,1084,149,3,147.41,4,3,4,434,potential_loyalists,Loyal
86,1085,20,7,377.72,5,5,5,555,champions,Loyal
87,1086,320,1,30.73,2,1,2,212,hibernating,Not Loyal
88,1087,102,1,27.47,4,1,1,411,promising,Not Loyal
89,1088,483,1,14.94,1,1,1,111,hibernating,Not Loyal
90,1089,247,2,40.84,3,2,2,322,about_to_sleep,Not Loyal
91,1090,241,2,155.15,3,2,5,325,about_to_sleep,Not Loyal
92,1091,357,1,40.33,2,1,2,212,hibernating,Not Loyal
93,1092,372,1,26.85,1,1,1,111,hibernating,Not Loyal
94,1093,78,1,8.31,5,1,1,511,new_customers,Not Loyal
95,1094,1647,1,23.26,1,1,1,111,hibernating,Not Loyal
96,1095,804,1,46.36,1,1,2,112,hibernating,Not Loyal
97,1096,118,1,60.7,4,1,3,413,promising,Not Loyal
98,1097,212,2,89.57,3,2,3,323,about_to_sleep,Not Loyal
99,1098,186,1,16.73,3,1,1,311,about_to_sleep,Not Loyal
100,1099,111,2,32.52,4,2,2,422,potential_loyalists,Loyal
101,1100,32,2,62.18,5,2,3,523,potential_loyalists,Loyal
102,1101,29,1,27.48,5,1,1,511,new_customers,Not Loyal
103,1102,562,1,24.94,1,1,1,111,hibernating,Not Loyal
104,1103,57,1,23.26,5,1,1,511,new_customers,Not Loyal
105,1104,10,1,22.3,5,1,1,511,new_customers,Not Loyal
106,1105,1226,6,176.91,1,5,5,155,cant_loose,Not Loyal
107,1106,66,1,59.17,5,1,2,512,new_customers,Not Loyal
108,1107,123,5,310.64,4,5,5,455,loyal_customers,Loyal
109,1108,238,1,23.26,3,1,1,311,about_to_sleep,Not Loyal
110,1109,111,1,13.91,4,1,1,411,promising,Not Loyal
111,1110,346,1,30.75,2,1,2,212,hibernating,Not Loyal
112,1112,117,2,57.8,4,2,2,422,potential_loyalists,Loyal
113,1113,87,1,123.36,5,1,4,514,new_customers,Not Loyal
114,1114,408,3,200.85,1,3,5,135,at_Risk,Not Loyal
115,1115,184,1,74.87,3,1,3,313,about_to_sleep,Not Loyal
116,1116,547,1,50.06,1,1,2,112,hibernating,Not Loyal
117,1117,85,1,26.99,5,1,1,511,new_customers,Not Loyal
118,1118,234,1,25.22,3,1,1,311,about_to_sleep,Not Loyal
119,1119,417,1,7.85,1,1,1,111,hibernating,Not Loyal
120,1120,357,1,29.98,2,1,1,211,hibernating,Not Loyal
121,1121,1637,1,34.2,1,1,2,112,hibernating,Not Loyal
122,1122,581,1,44.3,1,1,2,112,hibernating,Not Loyal
123,1123,551,1,76.38,1,1,3,113,hibernating,Not Loyal
124,1124,137,2,85.81,4,2,3,423,potential_loyalists,Loyal
125,1125,23,2,55.87,5,2,2,522,potential_loyalists,Loyal
126,1126,93,5,316.99,4,5,5,455,loyal_customers,Loyal
127,1127,348,1,71.5,2,1,3,213,hibernating,Not Loyal
128,1128,86,1,41.95,5,1,2,512,new_customers,Not Loyal
129,1129,559,1,42.49,1,1,2,112,hibernating,Not Loyal
130,1130,289,1,36.44,2,1,2,212,hibernating,Not Loyal
131,1131,4,2,109.21,5,2,4,524,potential_loyalists,Loyal
132,1132,389,2,77.33,1,2,3,123,hibernating,Not Loyal
133,1133,94,1,74.77,4,1,3,413,promising,Not Loyal
134,1134,387,1,61.21,1,1,3,113,hibernating,Not Loyal
135,1135,72,1,76.41,5,1,3,513,new_customers,Not Loyal
136,1136,947,1,23.22,1,1,1,111,hibernating,Not Loyal
137,1137,1693,1,11.64,1,1,1,111,hibernating,Not Loyal
138,1138,994,1,41.4,1,1,2,112,hibernating,Not Loyal
139,1139,31,1,11.1,5,1,1,511,new_customers,Not Loyal
140,1140,381,1,70.08,1,1,3,113,hibernating,Not Loyal
141,1141,449,4,152.12,1,4,5,145,at_Risk,Not Loyal
142,1142,363,1,175.47,2,1,5,215,hibernating,Not Loyal
143,1143,84,1,41.93,5,1,2,512,new_customers,Not Loyal
144,1144,1713,1,70,1,1,3,113,hibernating,Not Loyal
145,1145,759,1,60.64,1,1,3,113,hibernating,Not Loyal
146,1146,222,1,38.35,3,1,2,312,about_to_sleep,Not Loyal
147,1147,86,2,70.43,5,2,3,523,potential_loyalists,Loyal
148,1148,260,1,50.92,3,1,2,312,about_to_sleep,Not Loyal
149,1149,86,1,92.52,5,1,3,513,new_customers,Not Loyal
150,1150,572,1,14.01,1,1,1,111,hibernating,Not Loyal
151,1151,96,1,50.81,4,1,2,412,promising,Not Loyal
152,1152,50,1,8.32,5,1,1,511,new_customers,Not Loyal
153,1153,79,3,186.68,5,3,5,535,potential_loyalists,Loyal
154,1154,85,1,23.25,5,1,1,511,new_customers,Not Loyal
155,1155,549,1,47.35,1,1,2,112,hibernating,Not Loyal
156,1156,475,1,89.91,1,1,3,113,hibernating,Not Loyal
157,1157,56,1,8.31,5,1,1,511,new_customers,Not Loyal
158,1158,299,1,61.68,2,1,3,213,hibernating,Not Loyal
